t_s,mx,my,mz,yaw_deg,roll_deg,pitch_deg
430.345,8162.121987827373,-4084.711902589549,-4185.368273973953,128.69357351942617,-17.15747196846578,22.71963436599482
430.35,8166.8562224437455,-4084.185287551796,-4181.5525921181115,128.6877733306868,-17.13021516666535,22.720435476315895
430.355,8169.466069943705,-4083.2077000880618,-4178.765420819106,128.68257479418415,-17.10278145493243,22.72519480382692
430.36,8169.571389826968,-4081.569040321296,-4177.105097759734,128.67670066407396,-17.075984023453334,22.725634500767825
430.365,8167.910541483072,-4079.1730139859856,-4175.886909687192,128.67229505118812,-17.05481119878095,22.73142043466366
430.37,8165.623058245638,-4076.282975051787,-4174.60888341172,128.6714362593387,-17.038559998686495,22.73632957456728
430.375,8163.7197921375955,-4073.4928612296076,-4173.5829870236075,128.66655634039256,-17.029365575771312,22.74332717809955
430.38,8162.809419904392,-4071.571806814488,-4173.703418727851,128.66621928761717,-17.034887046655253,22.75867269507612
430.385,8162.819152694175,-4071.080166891165,-4175.493291432745,128.66663522677763,-17.046683922628322,22.770289807298376
430.39,8163.273339424219,-4071.870114462827,-4178.434982155505,128.6719629426665,-17.068792768714477,22.786511495014526
430.395,8163.709429447339,-4073.052033783242,-4181.053536009287,128.67734249434469,-17.096292275851418,22.80290768658407
430.4,8163.920078717088,-4073.5809649660036,-4181.759910544954,128.6829039544711,-17.129534663155034,22.81923895937132
430.40500000000003,8164.038660898469,-4072.9631610740826,-4179.86624787825,128.68832664926558,-17.167106063775126,22.835771151982264
430.41,8164.309536154964,-4071.523244012182,-4176.177072197404,128.6940631715303,-17.200164971004178,22.851600772955493
430.415,8164.697491169676,-4069.918579792134,-4172.664918048564,128.69910148872108,-17.232669604842872,22.8632832968941
430.42,8164.845855694513,-4068.4425941914487,-4171.202178976761,128.70005299463463,-17.259499004665436,22.879036569498485
430.425,8164.44525525876,-4066.8654139346345,-4172.292007655231,128.7046778391389,-17.27616146372261,22.88995593076046
430.43,8163.568763888373,-4064.8919095216347,-4174.995073434695,128.70507647523365,-17.28663076211724,22.895522536578095
430.435,8162.5727841495955,-4062.6930052341745,-4178.0961935427395,128.70464466979325,-17.287027084763945,22.901403496360672
430.44,8161.922453226694,-4060.9396646671503,-4181.427732497841,128.69964248686227,-17.281244129674267,22.911345180569395
430.445,8161.8696448443825,-4060.2588371672596,-4185.689003058617,128.69412074981048,-17.265310013683305,22.912195839688607
430.45,8162.294405542086,-4060.7751560805996,-4191.036348996412,128.6888208890079,-17.24371191037878,22.911926978236124
430.455,8162.863878963949,-4062.068908160224,-4196.43606260389,128.6879564242238,-17.221590948782577,22.912239853052586
430.46,8163.234975918824,-4063.453632925526,-4200.314133361258,128.68316548313172,-17.19469748674649,22.916951615295385
430.46500000000003,8163.495265226435,-4064.520382615398,-4201.7284861576245,128.68247145669076,-17.16728048889967,22.917722539715932
430.47,8164.1412923535745,-4065.4764303168154,-4201.111967481357,128.6827974618956,-17.140180442575513,22.922337695218687
430.475,8165.389632062211,-4066.7660516498017,-4200.023598933859,128.68766806341645,-17.117615056877998,22.9233361201988
430.48,8166.8369379492,-4068.316109924455,-4200.043586571153,128.69350682180715,-17.091298220011673,22.932846105434884
430.485,8167.923778109113,-4069.4480377532186,-4201.822253021773,128.7037213115938,-17.073545084334263,22.93932857994395
430.49,8168.502142638723,-4069.4603213148225,-4204.93187251268,128.71027571926703,-17.05769915764417,22.949301048198915
430.495,8169.038369872085,-4068.2514957179196,-4208.007565800922,128.72043665912557,-17.046156241923185,22.9558553327583
430.5,8170.2599366582335,-4066.6421305055787,-4209.210039000928,128.73154915611434,-17.045067058797134,22.970549329015157
430.505,8172.415995922172,-4065.953053944524,-4207.285100191372,128.73742344913137,-17.04540116935858,22.982564884135353
430.51,8174.813141316193,-4067.0149114379988,-4202.325874503112,128.7428303963845,-17.05000632955251,22.993168220970173
430.515,8176.454336892027,-4069.7014923174875,-4195.728614500138,128.74358853005663,-17.06050772617154,23.004207743802976
