Station,UTC_Hour,Frequency_Hz,PLV
IST,2017-03-28T00,6.792,0.13271317167789856
IST,2017-03-28T00,6.793,0.13382888200112292
IST,2017-03-28T00,6.794,0.13576219736537248
IST,2017-03-28T00,6.795,0.1401028148232054
IST,2017-03-28T00,6.796,0.14571713051325894
IST,2017-03-28T00,6.797,0.1553144017317428
IST,2017-03-28T00,6.798,0.1723578482787698
IST,2017-03-28T00,6.799,0.18304054338276513
IST,2017-03-28T00,6.8,0.19196676375705224
IST,2017-03-28T00,6.801,0.20091709414831807
IST,2017-03-28T00,6.802,0.2117763489555661
IST,2017-03-28T00,6.803,0.22636602551767743
IST,2017-03-28T00,6.804,0.24460690959534412
IST,2017-03-28T00,6.805,0.25619465226153243
IST,2017-03-28T00,6.806,0.2655836756384564
IST,2017-03-28T00,6.807,0.27323498154780523
IST,2017-03-28T00,6.808,0.2797086590875634
IST,2017-03-28T00,6.809,0.28532854797173995
IST,2017-03-28T00,6.81,0.2903582599628142
IST,2017-03-28T00,6.811,0.2950267421300231
IST,2017-03-28T00,6.812,0.2998839038956165
IST,2017-03-28T00,6.813,0.3046998752957014
IST,2017-03-28T00,6.814,0.3105302724804666
IST,2017-03-28T00,6.815,0.32014266627216187
IST,2017-03-28T00,6.816,0.32524086452275736
IST,2017-03-28T00,6.817,0.3285192065162437
IST,2017-03-28T00,6.818,0.33048663937768
IST,2017-03-28T00,6.819,0.3324113037306882
IST,2017-03-28T00,6.82,0.3351340852233751
IST,2017-03-28T00,6.821,0.33732328211685936
IST,2017-03-28T00,6.822,0.34067904470524707
IST,2017-03-28T00,6.823,0.3481636346769099
IST,2017-03-28T00,6.824,0.34783451379993824
IST,2017-03-28T00,6.825,0.34282009735020375
IST,2017-03-28T00,6.826,0.33303215626694244
IST,2017-03-28T00,6.827,0.31170421221560696
IST,2017-03-28T00,6.828,0.29701362117723146
IST,2017-03-28T00,6.829,0.2899292004605514
IST,2017-03-28T00,6.83,0.28665552987627124
IST,2017-03-28T00,6.831,0.286604276325213
IST,2017-03-28T00,6.832,0.28863986453520235
IST,2017-03-28T00,6.833,0.29233638728632233
IST,2017-03-28T00,6.834,0.2975829234515072
IST,2017-03-28T00,6.835,0.3050519791206516
IST,2017-03-28T00,6.836,0.31539691190034647
IST,2017-03-28T00,6.837,0.32662034799694667
IST,2017-03-28T00,6.838,0.33683533352848183
IST,2017-03-28T00,6.839,0.3469093822148663
IST,2017-03-28T00,6.84,0.3554238092148874
IST,2017-03-28T00,6.841,0.36623881115107826
IST,2017-03-28T00,6.842,0.37764046834913023
IST,2017-03-28T00,6.843,0.38896307300795474
IST,2017-03-28T00,6.844,0.40284491286102003
IST,2017-03-28T00,6.845,0.41634222862615483
IST,2017-03-28T00,6.846,0.4287494048717413
IST,2017-03-28T00,6.847,0.4397817850020281
IST,2017-03-28T00,6.848,0.4487091943926956
IST,2017-03-28T00,6.849,0.4559544836763424
IST,2017-03-28T00,6.85,0.46059595635766803
IST,2017-03-28T00,6.851,0.460681640197287
IST,2017-03-28T00,6.852,0.4634789371461503
IST,2017-03-28T00,6.853,0.4687877084016858
IST,2017-03-28T00,6.854,0.4762592617485669
