Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
KNG,20220101,2,2.8,0.27439184210795037,0.3092782504103335,0
KNG,20220101,2,2.9,0.28749636920594984,0.3092782504103335,0
KNG,20220101,2,3.0,0.19149633242343964,0.3092782504103335,0
KNG,20220101,2,3.1,0.15591098325914546,0.3092782504103335,0
KNG,20220101,2,3.2,0.10560157380107806,0.3092782504103335,0
KNG,20220101,2,3.3,0.2140040016466087,0.3092782504103335,0
KNG,20220101,2,3.4,0.29071577836352896,0.3092782504103335,0
KNG,20220101,2,3.5,0.1990229517634747,0.3092782504103335,0
KNG,20220101,2,3.6,0.21681008607329322,0.3092782504103335,0
KNG,20220101,2,3.7,0.19350498729565715,0.3092782504103335,0
KNG,20220101,2,3.8,0.15421288882946976,0.3092782504103335,0
KNG,20220101,2,3.9,0.1574696989328742,0.3092782504103335,0
KNG,20220101,2,4.0,0.29624547038950527,0.3092782504103335,0
KNG,20220101,2,4.1,0.34759789092559756,0.3092782504103335,1
KNG,20220101,2,4.2,0.2554322024597414,0.3092782504103335,0
KNG,20220101,2,4.3,0.30861525770168036,0.3092782504103335,0
KNG,20220101,2,4.4,0.15858931576426988,0.3092782504103335,0
KNG,20220101,2,4.5,0.1467186790411304,0.3092782504103335,0
KNG,20220101,2,4.6,0.14437588724517147,0.3092782504103335,0
KNG,20220101,2,4.7,0.20603095398343588,0.3092782504103335,0
KNG,20220101,2,4.8,0.125306543567843,0.3092782504103335,0
KNG,20220101,2,4.9,0.09504927602897444,0.3092782504103335,0
KNG,20220101,2,5.0,0.13445657084270418,0.3092782504103335,0
KNG,20220101,2,5.1,0.16830004351092168,0.3092782504103335,0
KNG,20220101,2,5.2,0.24680422439251973,0.3092782504103335,0
KNG,20220101,2,5.3,0.3740616663782668,0.3092782504103335,1
KNG,20220101,2,5.4,0.3852118646039975,0.3092782504103335,1
KNG,20220101,2,5.5,0.2601732024399627,0.3092782504103335,0
KNG,20220101,2,5.6,0.1789908277266303,0.3092782504103335,0
KNG,20220101,2,5.7,0.24497087215530436,0.3092782504103335,0
KNG,20220101,2,5.8,0.1326053734299927,0.3092782504103335,0
KNG,20220101,2,5.9,0.1277282382312093,0.3092782504103335,0
KNG,20220101,2,6.0,0.06601477639244875,0.3092782504103335,0
KNG,20220101,2,6.1,0.06839867868603695,0.3092782504103335,0
KNG,20220101,2,6.2,0.1897152313258318,0.3092782504103335,0
KNG,20220101,2,6.3,0.20169644380662932,0.3092782504103335,0
KNG,20220101,2,6.4,0.2849346786508638,0.3092782504103335,0
KNG,20220101,2,6.5,0.21614910650608984,0.3092782504103335,0
KNG,20220101,2,6.6,0.16713720511273047,0.3092782504103335,0
KNG,20220101,2,6.7,0.09919097508051757,0.3092782504103335,0
KNG,20220101,2,6.8,0.06163463592792363,0.3092782504103335,0
KNG,20220101,2,6.9,0.17001567301258644,0.3092782504103335,0
KNG,20220101,2,7.0,0.07876020280401241,0.3092782504103335,0
KNG,20220101,2,7.1,0.19606589593813356,0.3092782504103335,0
KNG,20220101,2,7.2,0.2485624845333733,0.3092782504103335,0
KNG,20220101,2,7.3,0.17915756451713713,0.3092782504103335,0
KNG,20220101,2,7.4,0.192941436717557,0.3092782504103335,0
KNG,20220101,2,7.5,0.16434631336133781,0.3092782504103335,0
