Station,UTC_Hour,Pair,Frequency_Hz,PLV,Hour_Threshold,Passed
IST,2017-03-28T00,H-D,1.254,0.24706311559077263,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.255,0.24859171402868055,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.256,0.2500304731407579,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.257,0.25186611417134835,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.258,0.2539369417075254,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.259,0.2561859905292614,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.26,0.25882103913389165,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.261,0.2609703348145477,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.262,0.263022538930718,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.263,0.26507462873314774,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.264,0.2672366736241415,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.265,0.2693477956510626,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.266,0.2719983806962689,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.267,0.2742455459334163,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.268,0.276076297646634,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.269,0.2776476192209726,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.27,0.2790114465284559,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.271,0.2801873191917613,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.272,0.28117768433040774,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.273,0.2819693401426162,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.274,0.28252284201750977,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.275,0.28269579979790616,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.276,0.2822298448613737,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.277,0.2821889099393401,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.278,0.28251248353591163,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.279,0.2829778257931608,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.28,0.28353125647144306,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.281,0.28414474205144075,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.282,0.28480129374616114,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.283,0.2854895894714023,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.284,0.286201505901553,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.285,0.28693079800698007,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.286,0.28767224167237654,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.287,0.28842087155049423,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.288,0.28917081343842393,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.289,0.28991633516477794,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.29,0.290617099590472,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.291,0.29118939994224285,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.292,0.2920446147437258,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.293,0.29294740527969454,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.294,0.29393570423349313,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.295,0.29501823973651137,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.296,0.29615908980603667,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.297,0.2976326412940192,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.298,0.2987134297720815,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.299,0.29975308803368644,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.3,0.3007471068545763,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.301,0.3016995665973505,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.302,0.3026169331979748,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.303,0.30350271988338473,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.304,0.30435902751101784,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.305,0.3051872315325687,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.306,0.305988215690113,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.307,0.30676247496076725,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.308,0.30751018383073,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.309,0.30823157502348764,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.31,0.30892878843470006,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.311,0.3096106419540495,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.312,0.3102974758652917,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.313,0.31092523254307375,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.314,0.31133869550811166,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.315,0.31195544893896837,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.316,0.3125515496855583,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.317,0.31313296354878295,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.318,0.31370407147783574,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.319,0.31426552672791574,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.32,0.3148172522336645,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.321,0.31535935639754953,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.322,0.31589222621449825,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.323,0.31641651808176274,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.324,0.3169331686134292,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.325,0.31744342775669465,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.326,0.31794890815793836,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.327,0.3184516461515506,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.328,0.3189541699991415,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.329,0.31945957095863814,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.33,0.31997157352789074,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.331,0.3204946037340889,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.332,0.3210338596147503,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.333,0.3215953972530793,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.334,0.32218626046878557,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.335,0.32281470316488864,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.336,0.3234905702485591,0.3742586419530446,0
