Station,UTC_Hour,Pair,Frequency_Hz,PLV,Score
IST,2017-03-28T00,H-D,1.393,0.38055085606068384,3.8055085606068384
IST,2017-03-28T00,H-D,1.394,0.3818266217357405,3.818266217357405
IST,2017-03-28T00,H-D,1.395,0.38304637790653046,3.8304637790653047
IST,2017-03-28T00,H-D,1.396,0.38421301314517636,3.8421301314517637
IST,2017-03-28T00,H-D,1.397,0.3853279459829499,3.853279459829499
IST,2017-03-28T00,H-D,1.398,0.38639157011182457,3.8639157011182457
IST,2017-03-28T00,H-D,1.399,0.38740351913799953,3.8740351913799955
IST,2017-03-28T00,H-D,1.4,0.3883628326392777,3.8836283263927767
IST,2017-03-28T00,H-D,1.401,0.3892680642621979,3.892680642621979
IST,2017-03-28T00,H-D,1.402,0.3901173536676829,3.901173536676829
IST,2017-03-28T00,H-D,1.403,0.3909084746434217,3.909084746434217
IST,2017-03-28T00,H-D,1.404,0.3916388665843553,3.916388665843553
IST,2017-03-28T00,H-D,1.405,0.3923056535801272,3.923056535801272
IST,2017-03-28T00,H-D,1.406,0.39290565347732764,3.9290565347732764
IST,2017-03-28T00,H-D,1.407,0.39343537795161376,3.9343537795161376
IST,2017-03-28T00,H-D,1.408,0.3938910234693058,3.9389102346930582
IST,2017-03-28T00,H-D,1.409,0.3942684517467401,3.942684517467401
IST,2017-03-28T00,H-D,1.41,0.3945631565327212,3.9456315653272123
IST,2017-03-28T00,H-D,1.411,0.39477021055723677,3.947702105572368
IST,2017-03-28T00,H-D,1.412,0.39488418082021515,3.9488418082021512
IST,2017-03-28T00,H-D,1.413,0.39489898846985705,3.9489898846985705
IST,2017-03-28T00,H-D,1.414,0.39480766187580063,3.948076618758006
IST,2017-03-28T00,H-D,1.415,0.3946018600082149,3.946018600082149
IST,2017-03-28T00,H-D,1.416,0.39427083042088706,3.9427083042088706
IST,2017-03-28T00,H-D,1.417,0.3937986322432098,3.9379863224320983
IST,2017-03-28T00,H-D,1.418,0.3931504382589393,3.931504382589393
IST,2017-03-28T00,H-D,1.419,0.3920056559439426,3.920056559439426
IST,2017-03-28T00,H-D,1.42,0.3915743125379709,3.9157431253797093
IST,2017-03-28T00,H-D,1.421,0.390825876564173,3.90825876564173
IST,2017-03-28T00,H-D,1.422,0.3898530019921967,3.898530019921967
IST,2017-03-28T00,H-D,1.423,0.3886480728061412,3.886480728061412
IST,2017-03-28T00,H-D,1.424,0.3871912323951472,3.871912323951472
IST,2017-03-28T00,H-D,1.425,0.38541913538058786,3.8541913538058785
